date,ozone,smog,air pollution,haze,soot,ozone.1,code orange,code red,O3,smoke,ozone.2,cough,wheezing,snoring,asthma,ozone.3,difficulty breathing,lung irritation,COPD,inhaler,ozone.4,bronchiolitis,irregular heartbeat,chest pain,heart murmur,DATE,O3_M8_SCH1
3/4/07,39.79684657,0,0,33.47456317,0,0,0,0,0,120.7658577,30.22018349,73.6502259,35.74153846,0,29.59221848,33.40551724,0,,0,0,28.22753906,0,0,27.48568454,0,3/4/07,35.97
3/5/07,0,0,0,21.20055667,0,0,0,0,13.33333333,12.71219555,0,35.07153614,0,21.14311431,18.49513655,0,0,,22.61398176,0,0,0,0,16.60593441,19.08225108,3/5/07,34.5
3/6/07,37.14372347,24.18181818,46.62271062,21.20055667,0,13.96853933,0,0,0,25.42439109,18.88761468,46.76204819,0,0,54.56065282,20.55724138,0,,0,0,18.01757813,0,0,17.17855284,0,3/6/07,42.93
3/7/07,25.2046695,24.18181818,22.68131868,21.20055667,0,13.96853933,0,0,0,12.71219555,18.88761468,23.3810241,0,0,36.9902731,0,0,,23.48375029,0,0,0,0,0,0,3/7/07,60.06
3/8/07,0,0,0,0,0,17.46067416,0,0,0,22.2463422,0,47.9310994,0,21.14311431,56.41016648,21.4137931,0,,0,23.35443038,18.01757813,0,0,52.10827694,0,3/8/07,67.49
3/9/07,0,0,25.2014652,22.31637544,0,19.20674157,0,0,0,52.43780663,19.83199541,24.5500753,0,0,19.41989338,22.27034483,0,,0,0,18.61816406,0,0,0,0,3/9/07,39.49
3/10/07,0,38.18181818,0,0,0,0,0,0,0,119.1768332,0,37.40963855,0,0,29.59221848,0,0,,36.53027823,0,0,0,0,0,0,3/10/07,54.3
3/11/07,0,0,0,0,0,0,0,0,0,38.13658664,0,58.45256024,0,0,30.51697531,0,40.04651163,,39.13958382,0,0,0,0,0,0,3/11/07,60.1
3/12/07,25.2046695,0,0,21.20055667,0,0,0,14.66666667,0,42.90365997,18.88761468,23.3810241,0,21.14311431,0,20.55724138,0,,23.48375029,0,18.01757813,0,0,16.60593441,0,3/12/07,43.74
3/13/07,0,24.18181818,0,42.40111334,0,10.47640449,0,0,0,25.42439109,0,35.07153614,0,0,18.49513655,20.55724138,0,,0,0,0,0,0,0,0,3/13/07,51.84
